End Date,Daily Weighted Approve,Daily Weighted Disapprove,Daily Weighted Net,Total Weight,Days Since Start
2025-04-02,47.335893845303026,50.05016753141693,-2.7142736861139056,1.5127106412970301,72.0
2025-04-03,48.00326736987044,48.61876345239638,-0.6154960825259366,3.6840559983921777,73.0
2025-04-04,48.675,50.325,-1.6500000000000057,1.0483653833029463,74.0
2025-04-06,44.315,53.685,-9.370000000000005,0.8222390362583848,76.0
2025-04-07,45.407633539466644,50.34951031192554,-4.9418767724588974,4.344294271299632,77.0
2025-04-08,46.033512330543836,51.39418147265908,-5.360669142115242,1.5292895017787156,78.0
2025-04-09,45.399270192534715,50.787790485442635,-5.38852029290792,2.2448095226871594,79.0
2025-04-10,45.58592764851539,50.100402580105566,-4.514474931590179,3.9054330609919745,80.0
2025-04-11,47.94220066623927,50.71797891372534,-2.775778247486066,1.5649924605832028,81.0
2025-04-12,44.2,43.5,0.7000000000000028,0.7015342866369592,82.0
